# scripts/production_scraper/master_list.txt
#
# Production scraper master address list — synced from KK's Obsidian:
#   docs/lot-ledger/Master Scraper List Updated 05_26_26.md
#
# Edits to THIS file take effect on the NEXT run start. Mid-run edits do
# NOT affect the current pass — the queue is snapshotted at startup.
#
# Spec: docs/propelio/PRODUCTION_SCRAPER_SPEC.md (v1.2 locked)

3728 CHAPARRAL RD, PLANO, TX 75074
1201 LEGACY DR, PLANO, TX 75023
3901 RUSHDEN CT, PLANO, TX 75025
LEGACY DR, PLANO, TX 75024
4155 COUNTY ROAD 695, FARMERSVILLE, TX 75442
COUNTY ROAD 645, FARMERSVILLE, TX 75422
4429 COUNTY ROAD 551, FARMERSVILLE, TX 75442
4777 COUNTY ROAD 1078, PRINCETON, TX 75407
395 E BLONDY JHUNE RD, LUCAS, TX 75002
1211 WINDGATE WAY, ALLEN, TX 75002
512 SAGINAW CT, ALLEN, TX 75013
2700 ROYAL TROON DR, PLANO, TX 75025
9805 GRISTMILL LN, FRISCO, TX 75035
1070 COUNTY ROAD 697, FARMERSVILLE, TX 75442
1158 S STATE HWY 78, FARMERSVILLE, TX 75442
10182 COUNTY ROAD 1110, PRINCETON, TX 75407
3845 COUNTY ROAD 318, MCKINNEY, TX 75069
531 MICHELLE WAY, FAIRVIEW, TX 75069
2450 BAINBRIDGE DR, ALLEN, TX 75013
6301 BOSTON LN, MCKINNEY, TX 75070
12600 ROLATER RD, FRISCO, TX 75035
6998 MEMORIAL DR, FRISCO, TX 75034
401 MURCHISON ST, FARMERSVILLE, TX 75442
1226 COUNTY ROAD 699, FARMERSVILLE, TX 75442
2811 ANDREW DR, FARMERSVILLE, TX 75442
ABS A0866 JOHN H STANFORD SURVEY, TRACT 31, 8.0 ACRES
305 SIMPSON RD, PRINCETON, TX 75407
317 FRANKLIN AVE, MCKINNEY, TX 75069
5408 SANDALWOOD DR, MCKINNEY, TX 75072
13679 LINCOLNSHIRE LN, FRISCO, TX 75035
11512 CORALBERRY DR, FRISCO, TX 75033
5845 ELDORADO PKWY, FRISCO, TX 75033
18077 BURDEN RANCH EST, FARMERSVILLE, TX 75442
14917 FM 2756, FARMERSVILLE, TX 75442
FM 2756, PRINCETON, TX 75407
4015 HIGH VALLEY DR, MCKINNEY, TX 75071
2548 FM 2933, MCKINNEY, TX 75071
2600 PRESCOTTE POINTE, MCKINNEY, TX 75071
7104 CHELTENHAM AVE, MCKINNEY, TX 75071
12081 W UNIVERSITY DR, MCKINNEY, TX 75071
1101 JOLIE RD, PROSPER, TX 75078
18855 COUNTY ROAD 663, FARMERSVILLE, TX 75442
13902 COUNTY ROAD 618, FARMERSVILLE, TX 75442
7769 COUNTY ROAD 572, FARMERSVILLE, TX 75442
8291 COUNTY ROAD 470, BLUE RIDGE, TX 75424
4876 COUNTY ROAD 1116, MELISSA, TX 75454
5895 TRINITY FALLS PKWY, MCKINNEY, TX 75071
5959 FRANKLIN BRANCH RD, MCKINNEY, TX 75071
1901 PEBBLE CREEK DR, PROSPER, TX 75078
520 EVENING SUN DR, PROSPER, TX 75078
OUNTY ROAD 825, BLUE RIDGE, TX 75424
11484 MAKIN DO LN, BLUE RIDGE, TX 75424
8930 FM 545, BLUE RIDGE, TX 75424
3588 COUNTY ROAD 417, ANNA, TX 75409
66 TRAILRIDGE DR, MELISSA, TX 75454
2545 WESTON RD, CELINA, TX 75009
FM 2478, CELINA, TX 75009
E GLENDENNING PKWY, CELINA, TX 75009
3117 SALTWOOD CT, CELINA, TX 75009
16315 COUNTY ROAD 982, BLUE RIDGE, TX 75424
11753 COUNTY ROAD 632, BLUE RIDGE, TX 75424
8677 COUNTY ROAD 512, ANNA, TX 75409
4900 BROOK LN, ANNA, TX 75409
1401 S FERGUSON PKWY, ANNA, TX 75409
COUNTY ROAD 285, ANNA, TX 75409
ABS A0598 LEVI MELVIN SURVEY, TRACT 64, 3.0 ACRES
1329 LAKEVIEW DR, CELINA, TX 75009
2228 MEDINA RD, CELINA, TX 75009
9357 COUNTY ROAD 584, ANNA, TX 75409
14234 COUNTY ROAD 480, VAN ALSTYNE, TX 75495
2333 GRASSHOPPER LN, ANNA, TX 75409
12288 COUNTY ROAD 290, ANNA, TX 75409
1970 LONE STAR RD, CELINA, TX 75009
2861 FOREST DR, CELINA, TX 75009
4701 WARHOL CT, CELINA, TX 75009
3655 EDEN DR, DALLAS, TX, 75287-6262
2311 SEEDLING LN, DALLAS, TX, 75287-5854
501 CEMETERY HILL RD, CARROLLTON, TX, 75007-5096
3300 N STEMMONS FWY, CARROLLTON, TX, 75006
221 RIDGEWOOD DR, LEWISVILLE, TX, 75067
1212 SPINKS RD, FLOWER MOUND, TX, 75028-4245
1001 SIMMONS RD, FLOWER MOUND, TX, 75022-4303
156 SAM BASS RIDGE RD, SOUTHLAKE, TX, 76092
804 CROSBY ST, ROANOKE, TX, 76262-6103
4100 WILDERNESS PASS , ROANOKE, TX, 76262
15079 SONGBIRD LN, HASLET, TX, 76052-2528
3704 GALLOWAY LN, CARROLLTON, TX, 75007-2009
3710 WESTMINSTER PL, CARROLLTON, TX, 75007-2632
3804 ISLAND CT, CARROLLTON, TX, 75007-6306
399 DUBLIN ST, LEWISVILLE, TX, 75067
1116 BABBLING BROOK DR, LEWISVILLE, TX, 75067-5502
2624 MISTY GLEN DR, FLOWER MOUND, TX, 75028-7516
3025 HUGO CT, FLOWER MOUND, TX, 75022-5537
441 CHESTNUT LN, ROANOKE, TX, 76262
8921 E SAM LEE LN, NORTHLAKE, TX, 76262
17528 MATANY RD, JUSTIN, TX, 76247-8726
16444 ROSELLA LN, FORT WORTH, TX, 76247
1461 ARCHWAY CT, JUSTIN, TX, 76247
157 PINE DR, LEWISVILLE, TX, 75057-4809
2513 LINKS DR, PLANO, TX, 75093-6332
2024 TOPAZ DR, CARROLLTON, TX, 75010-4511
2512 SILVER TABLE DR, LEWISVILLE, TX, 75056
1310 PONDEROSA PINE LN, CARROLLTON, TX, 75007-1028
1516 ADAMS DR, CARROLLTON, TX, 75010-1160
1541 STONEWALL DR, THE COLONY, TX, 75056
117 EDGEWOOD DR, LEWISVILLE, TX, 75067-4517
1420 WOOD CREEK DR, FLOWER MOUND, TX, 75028-1321
3625 BONANZA LN, FLOWER MOUND, TX, 75022-2841
5400 DICKINSON DR, FLOWER MOUND, TX, 75022
4000 POST OAK RD, FLOWER MOUND, TX, 75022-6612
4812 SECLUDED CT, FLOWER MOUND, TX, 76262
3655 MCPHERSON DR, NORTHLAKE, TX, 76247
11220 BONE SPRING DR, JUSTIN, TX, 76247
5800 HAMILTON DR, THE COLONY, TX, 75056
3121 LAKESPRING VIS, LEWISVILLE, TX, 75010
2433 MAGALIA LN, THE COLONY, TX, 75056
110 PARKWAY DR, LEWISVILLE, TX, 75057-3169
1319 LARAMIE PL, LEWISVILLE, TX, 75077-2847
4812 TIMBERVIEW CT, FLOWER MOUND, TX, 75028-1903
4404 BISCAYNE DR, FLOWER MOUND, TX, 75028-3139
1331 BRIDLE BIT RD, BARTONVILLE, TX, 75022
4213 GREENTHREAD WAY, NORTHLAKE, TX, 76226
1319 SUNDANCE LN, JUSTIN, TX, 76247
12770 HELEN RD, JUSTIN, TX, 76247
15194 S COUNTY LINE RD, JUSTIN, TX, 76247
7029 PORTOBELLO DR, PLANO, TX, 75024-7570
5068 ARBOR GLEN RD, THE COLONY, TX, 75056-2526
3809 LAKESIDE DR, THE COLONY, TX, 75056-4121
1311 LARK LN, LEWISVILLE, TX, 75077-7607
2412 HIGH CHAPEL CT, HIGHLAND VILLAGE, TX, 75077-7044
6401 SORRENTO LN, LEWISVILLE, TX, 75077
849 TERRACE DR, ARGYLE, TX, 76226-6678
1189 W JETER RD, BARTONVILLE, TX, 76226-6945
3323 CAMBRIDGE DR, NORTHLAKE, TX, 76247
9500 COLLINGWOOD DR, JUSTIN, TX, 76247-4426
8 SKI HAVEN DR, JUSTIN, TX, 76247
5828 BAKER DR, THE COLONY, TX, 75056-4410
4124 MALONE AVE, THE COLONY, TX, 75056-3028
770 CARLISLE DR, LAKE DALLAS, TX, 75065
670 ESTATES DR, COPPER CANYON, TX, 75077-4835
211 WHISPERING TRAILS ST, ARGYLE, TX, 76226-4127
608 8TH ST, ARGYLE, TX, 76226
803 PARK VISTA DR, JUSTIN, TX, 76247
12834 FM 1384 , JUSTIN, TX, 76247
6775 FLORANCE RD, NORTHLAKE, TX, 76247
4939 NORMANDY DR, FRISCO, TX
792 TELEMARK TRL, FRISCO, TX, 75036
10628 BUCCANEER PT, FRISCO, TX, 75036
805 CARRIE LN, LAKEWOOD VILLAGE, TX, 75068-4334
3204 SUMMERWOOD CT, CORINTH, TX, 76210-4189
9567 SPRING RD, ARGYLE, TX, 76226-5051
5729 TAWAKONI DR, ARGYLE, TX, 76226-4249
11104 LANDMARK CT, DENTON, TX, 76207
8400 ANGUS DR, JUSTIN, TX, 76247
5750 HIGH MESA DR, JUSTIN, TX, 76247
9200 ARISTOCRAT LN, FRISCO, TX
2100 ROYAL ACRES TRL, FRISCO, TX, 75036
9120 LONESOME DOVE DR, LITTLE ELM, TX, 75068
134 HIDDEN VALLEY AIRPARK , SHADY SHORES, TX, 76208-7332
920 CHIQUITA ST, DENTON, TX, 76205-8316
4500 ALSACE DR, ARGYLE, TX, 76226-4202
414 SARATOGA DR, PONDER, TX, 76259
3100 CREEKSIDE DR, PONDER, TX, 76259-6199
14497 RISING STAR BLVD, FRISCO, TX, 75033
2001 LAKE MOSS LN, LITTLE ELM, TX, 75068
2050 E OAK SHORES DR, CROSSROADS, TX, 76227
3324 HUMMINGBIRD LN, DENTON, TX, 76209-4833
2026 W OAK ST, DENTON, TX, 76201-3721
1010 SPRING FLOWER DR, KRUM, TX, 76249-7008
181 GRANITE DR, PONDER, TX, 76259
14828 OLD STONEY RD, PONDER, TX, 76259
4230 COOPWOOD , PROSPER, TX, 75078
7209 CAMILLA ST, LITTLE ELM, TX
1821 RODGERS LN, PROVIDENCE VILLAGE, TX, 76227
355 OAK BLUFF DR, CROSSROADS, TX, 76227-7099
3013 DOMINION ST, DENTON, TX, 76209
717 W WINDSOR DR, DENTON, TX, 76201
